棵树数量,训练集AUC,测试集AUC
3,0.86149267,0.84290758
6,0.86833275,0.84762466
9,0.87279050,0.84888090
12,0.87550559,0.85017689
15,0.87796736,0.85160323
18,0.88028881,0.85196931
21,0.88232474,0.85294827
24,0.88455348,0.85365610
27,0.88604949,0.85419430
30,0.88768714,0.85444211
33,0.88931962,0.85511057
36,0.89121822,0.85578904
39,0.89293154,0.85672200
42,0.89456483,0.85717833
45,0.89580152,0.85775210
48,0.89699574,0.85800696
51,0.89811123,0.85796073
54,0.89958789,0.85834559
57,0.90048267,0.85804858
60,0.90174668,0.85822762
63,0.90333078,0.85862248
66,0.90471805,0.85904973
69,0.90601409,0.85935927
72,0.90708400,0.85948366
75,0.90808611,0.85957030
78,0.90882562,0.85957226
81,0.90988767,0.85962351
84,0.91108416,0.86014070
87,0.91249224,0.86050842
90,0.91346572,0.86050323
93,0.91437633,0.86045782
96,0.91541409,0.86072601
99,0.91664610,0.86088567
102,0.91748745,0.86075104
105,0.91841558,0.86087350
108,0.91896079,0.86075431
111,0.92020125,0.86111205
114,0.92110425,0.86119807
117,0.92215710,0.86167018
120,0.92321739,0.86182465
123,0.92366003,0.86188471
126,0.92450439,0.86196967
129,0.92544768,0.86195917
132,0.92664707,0.86226450
135,0.92706245,0.86220301
138,0.92815477,0.86221583
141,0.92887937,0.86228770
144,0.92922211,0.86225949
147,0.92987182,0.86242434
150,0.93077688,0.86260101
153,0.93139438,0.86262234
156,0.93234334,0.86270024
159,0.93264496,0.86257741
162,0.93348989,0.86288927
165,0.93428004,0.86326787
168,0.93475890,0.86321234
171,0.93522411,0.86317610
174,0.93607549,0.86318500
177,0.93662336,0.86344201
180,0.93745314,0.86357431
183,0.93817891,0.86377647
186,0.93860139,0.86372818
189,0.93952450,0.86412038
192,0.93991483,0.86408921
195,0.94113658,0.86431927
198,0.94201377,0.86444874
201,0.94248048,0.86475979
204,0.94306203,0.86473582
207,0.94348931,0.86484204
210,0.94397268,0.86494901
213,0.94445621,0.86519765
216,0.94484988,0.86505797
219,0.94545790,0.86533744
222,0.94589803,0.86540084
225,0.94620531,0.86531571
228,0.94667845,0.86562311
231,0.94711084,0.86559606
234,0.94737244,0.86549295
237,0.94760702,0.86563523
240,0.94809637,0.86558141
243,0.94865336,0.86539923
246,0.94887397,0.86524365
249,0.94913919,0.86516130
252,0.94933514,0.86517251
255,0.94971547,0.86517346
258,0.95006323,0.86492144
261,0.95025731,0.86492221
264,0.95060430,0.86493903
267,0.95117336,0.86497365
270,0.95153140,0.86491943
273,0.95190612,0.86509328
276,0.95203855,0.86495237
279,0.95240622,0.86483922
282,0.95274048,0.86503932
285,0.95320857,0.86528479
288,0.95356020,0.86562757
291,0.95396111,0.86558890
294,0.95419146,0.86551353
297,0.95438818,0.86552927
300,0.95468484,0.86558311
