棵树数量,训练集AUC,测试集AUC
3,0.79735914,0.78923375
6,0.80599940,0.79388884
9,0.81121272,0.79667442
12,0.81410280,0.79819565
15,0.81697022,0.79876376
18,0.81948376,0.79987116
21,0.82177840,0.80084969
24,0.82374136,0.80144804
27,0.82606084,0.80181639
30,0.82826722,0.80195232
33,0.83025901,0.80237086
36,0.83248940,0.80296272
39,0.83424333,0.80292713
42,0.83571238,0.80262707
45,0.83742477,0.80287303
48,0.83925879,0.80326478
51,0.84117521,0.80327742
54,0.84303120,0.80345867
57,0.84518145,0.80382579
60,0.84673820,0.80402327
63,0.84812665,0.80414864
66,0.84945849,0.80406210
69,0.85146458,0.80407534
72,0.85261955,0.80410399
75,0.85411644,0.80426764
78,0.85606091,0.80451612
81,0.85771450,0.80469182
84,0.85930806,0.80510127
87,0.86104941,0.80514486
90,0.86252872,0.80512684
93,0.86415106,0.80496096
96,0.86604330,0.80453031
99,0.86702705,0.80450968
102,0.86836973,0.80465450
105,0.86903797,0.80422879
108,0.87088042,0.80398742
111,0.87220160,0.80402315
114,0.87374743,0.80395868
117,0.87485868,0.80388817
120,0.87584700,0.80380076
123,0.87714615,0.80359419
126,0.87822106,0.80327293
129,0.88002036,0.80300197
132,0.88107429,0.80277788
135,0.88211014,0.80264651
138,0.88301293,0.80277991
141,0.88411885,0.80294703
144,0.88515262,0.80277700
147,0.88663952,0.80285411
150,0.88786891,0.80277503
153,0.88880561,0.80233071
156,0.88944973,0.80224368
159,0.89026071,0.80179965
162,0.89156502,0.80209893
165,0.89276129,0.80193555
168,0.89403536,0.80200308
171,0.89468789,0.80208894
174,0.89555797,0.80200546
177,0.89628228,0.80191127
180,0.89727992,0.80181566
183,0.89825075,0.80171196
186,0.89938704,0.80143214
189,0.90031524,0.80103081
192,0.90132875,0.80095756
195,0.90185567,0.80065116
198,0.90241289,0.80038588
201,0.90267592,0.80018434
204,0.90384144,0.80050438
207,0.90511880,0.80045907
210,0.90564056,0.80014224
213,0.90653731,0.79974857
216,0.90715802,0.79953454
219,0.90819582,0.79935534
222,0.90923361,0.79935900
225,0.91006828,0.79919217
228,0.91043038,0.79896022
231,0.91086781,0.79911665
234,0.91152561,0.79894515
237,0.91260718,0.79910991
240,0.91322121,0.79904688
243,0.91394049,0.79935074
246,0.91407103,0.79903405
249,0.91469381,0.79889641
252,0.91499989,0.79902301
255,0.91554722,0.79892229
258,0.91599332,0.79878668
261,0.91615553,0.79872921
264,0.91666051,0.79846325
267,0.91703625,0.79826957
270,0.91773133,0.79781612
273,0.91831968,0.79760059
276,0.91874945,0.79735584
279,0.91919466,0.79685196
282,0.91957804,0.79669099
285,0.91975508,0.79656342
288,0.92053080,0.79654686
291,0.92120670,0.79639764
294,0.92139889,0.79630115
297,0.92174870,0.79624497
300,0.92233538,0.79611095
